event_date,event_timestamp,event_name,event_value_in_usd,user_id,user_pseudo_id,user_first_touch_timestamp,category,mobile_model_name,mobile_brand_name,operating_system,language,is_limited_ad_tracking,browser,browser_version,country,medium,name,traffic_source,platform,total_item_quantity,purchase_revenue_in_usd,refund_value_in_usd,shipping_value_in_usd,tax_value_in_usd,transaction_id,page_title,page_location,source,page_referrer,campaign
20201130,1606714975631524,first_visit,,,18251922.9902100225,1606714975631524,mobile,Pixel 4 XL,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20201105,1604542734528660,view_promotion,,,28922323.3516501120,1604542729521571,mobile,Pixel 4 XL,Google,Web,zh,No,Chrome,<Other>,Pakistan,cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/,,,
20201116,1605528847570934,first_visit,,,49760157.7026735167,1605528847570934,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20201129,1606677037176707,session_start,,,90776818.1373278151,1606662849021620,mobile,Pixel 3,Google,Web,en-gb,No,Chrome,86.0,Canada,cpc,<Other>,google,WEB,,,,,,,Mugs & Tumblers | Drinkware | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Mugs+Tumblers,,,
20201124,1606213071155845,scroll,,,77753243.2431700911,1606213071151746,mobile,Pixel 4 XL,Google,Android,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20201105,1604536890444978,first_visit,,,66831552.2082619079,1604536890444978,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,Turkey,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://www.googlemerchandisestore.com/,,,
20210124,1611531532187520,view_item,,,1359073.4989017126,1611531405876474,mobile,Pixel 3,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,shop.googlemerchandisestore.com,,(referral)
20201112,1605145397139475,first_visit,,,1073675.4185248044,1605145397139475,mobile,Pixel 4 XL,Google,Android,zh,No,Chrome,87.0,India,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201105,1604542745415055,page_view,,,28922323.3516501120,1604542729521571,mobile,Pixel 4 XL,Google,Web,zh,No,Chrome,<Other>,Pakistan,cpc,<Other>,google,WEB,,,,,,,Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,shop.googlemerchandisestore.com,,(referral)
20201211,1607657203196909,view_item,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,(not set),Stationery | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery,,,
20201217,1608230996107733,scroll,,,51098232.6564950910,1608230848665274,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,United Kingdom,cpc,<Other>,google,WEB,,,,,,,Drinkware | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,shop.googlemerchandisestore.com,,(referral)
20201202,1606941106052283,page_view,,,4386491173.3698720424,1606941106052283,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Noogler Android Figure 2019,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Noogler+Android+Figure+2019,google,,<Other>
20201211,1607656938623052,view_item,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,(not set),Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,shop.googlemerchandisestore.com,,(referral)
20201209,1607491787111495,page_view,,,61008231.1453456647,1607491787111495,mobile,Pixel 3,Google,Web,zh,No,Chrome,87.0,Singapore,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - Log In,https://shop.googlemerchandisestore.com/signin.html,google,,<Other>
20201124,1606213071151746,first_visit,,,77753243.2431700911,1606213071151746,mobile,Pixel 4 XL,Google,Android,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20210117,1610910753706913,session_start,,,87642518.4022150567,1610910753706913,mobile,Pixel 3,Google,Web,en-us,No,Chrome,87.0,China,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20201211,1607656475583070,view_item,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,(not set),Hats | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,google,,<Other>
20201202,1606941425598819,scroll,,,4386491173.3698720424,1606941106052283,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,,,
20201204,1607125828696301,page_view,,,6231994.3585936976,1607125828696301,mobile,Pixel 4 XL,Google,Android,,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Page Unavailable,https://shop.googlemerchandisestore.com/google+redesign/shop+by+brand/google,google,,<Other>
20201212,1607796393326992,view_search_results,,,46573436.5522419113,1607796328449078,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Store search results,https://shop.googlemerchandisestore.com/asearch.html,,,
20201217,1608231423954457,scroll,,,51098232.6564950910,1608230848665274,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,United Kingdom,cpc,<Other>,google,WEB,,,,,,,Bags | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/New?,(referral)
20201212,1607797003488914,page_view,,,46573436.5522419113,1607796328449078,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Speckled Beanie Navy,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Speckled+Beanie+Navy,,,
20201211,1607671903958659,page_view,,,7529108.3603947452,1605755219477551,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Womens | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,,https://shop.googlemerchandisestore.com/?,
20201218,1608285073369756,view_item,,,139505255.2386210507,1608284993400730,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),YouTube Iconic Play Pin,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/YouTube+Iconic+Play+Pin,,,
20201130,1606777649032239,session_start,,,27236987.9559894322,1606777649032239,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20201217,1608230848665274,session_start,,,51098232.6564950910,1608230848665274,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,United Kingdom,cpc,<Other>,google,WEB,,,,,,,,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Inverted+Umbrella,,,
20201116,1605529062896793,scroll,,,49760157.7026735167,1605528847570934,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel?,(referral)
20201217,1608231361031923,view_item,,,51098232.6564950910,1608230848665274,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,United Kingdom,cpc,<Other>,google,WEB,,,,,,(not set),Supernatural Paper Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Supernatural+Paper+Tote,,https://shop.googlemerchandisestore.com/Google+Redesign/New?,
20201212,1607797111607713,user_engagement,,,46573436.5522419113,1607796328449078,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,New | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/New,shop.googlemerchandisestore.com,,(referral)
20201116,1605495187070383,page_view,,,11414768.9044705149,1605495156378014,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,Serbia,cpc,<Other>,google,WEB,,,,,,,Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,google,https://shop.googlemerchandisestore.com/Google+Redesign/New?,<Other>
20201201,1606794765025074,view_item,,,86762928.3657155608,1602304215226771,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,(not set),cpc,<Other>,google,WEB,,,,,,(not set),Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,,https://shop.googlemerchandisestore.com/store.html?,
20201106,1604635434747443,page_view,,,57883074.8513476773,1604635434747443,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,Russia,cpc,<Other>,google,WEB,,,,,,,YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,google,,<Other>
20201111,1605078147382824,first_visit,,,21420934.5705374954,1605078147382824,mobile,Pixel 4 XL,Google,Android,en-us,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,,,
20201222,1608662850418789,page_view,,,78222512.5114977021,1608662850418789,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://www.googlemerchandisestore.com/,google,,<Other>
20210107,1610020779116222,page_view,,,5877057.5800583762,1610020778756975,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20201105,1604536890444978,session_start,,,66831552.2082619079,1604536890444978,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,Turkey,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://www.googlemerchandisestore.com/,,,
20201202,1606941641838073,view_item,,,4386491173.3698720424,1606941106052283,mobile,Pixel 4 XL,Google,Web,,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,1,,,,,(not set),Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,,,
20201116,1605495204952047,page_view,,,11414768.9044705149,1605495156378014,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,86.0,Serbia,cpc,<Other>,google,WEB,,,,,,,Android | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Android,google,,<Other>
20201118,1605711136987670,scroll,,,49915374.2750890548,1605710870017139,mobile,Pixel 3,Google,Android,,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Campus Collection | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens?,(referral)
20201103,1604382294538122,page_view,,,6016153.5120427538,1600131664218605,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,Denmark,cpc,<Other>,google,WEB,,,,,,,Drinkware | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,shop.googlemerchandisestore.com,,(referral)
20201216,1608159607072825,user_engagement,,,3183847.4263421935,1607921885815620,mobile,Pixel 3,Google,Android,,No,Chrome,87.0,Australia,cpc,<Other>,google,WEB,,,,,,,YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,google,,<Other>
20201220,1608479847152725,first_visit,,,5650661.6702832047,1608479847152725,mobile,Pixel 4 XL,Google,Web,en,No,Chrome,87.0,India,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201211,1607657063878101,scroll,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,,Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,,,
20201118,1605711090260727,user_engagement,,,49915374.2750890548,1605710870017139,mobile,Pixel 3,Google,Android,,No,Chrome,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,shop.googlemerchandisestore.com,,(referral)
20210114,1610640932259608,page_view,,,22053096.7221737805,1610640870717910,mobile,Pixel 3,Google,Android,zh,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,,,
20201212,1607797068799062,user_engagement,,,46573436.5522419113,1607796328449078,mobile,Pixel 3,Google,Android,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Hats | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens?,
20201224,1608815870209135,user_engagement,,,5081711.0887659115,1608815866122380,mobile,Pixel 4 XL,Google,Web,en-us,No,Chrome,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,google,,(organic)
20210108,1610103414286718,user_engagement,,,3577555.9782934100,1610103318642746,mobile,Pixel 4 XL,Google,Web,en-us,No,Android Webview,<Other>,India,cpc,<Other>,google,WEB,,,,,,,New | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/New,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens?,(referral)
20201103,1604382401655651,view_item,,,6016153.5120427538,1600131664218605,mobile,Pixel 3,Google,Android,en-us,No,Chrome,<Other>,Denmark,cpc,<Other>,google,WEB,,,,,,(not set),Google Glass Bottle,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Glass+Bottle,,,
20201211,1607656761992323,user_engagement,,,29263455.9104577635,1607656387918361,mobile,Pixel 4 XL,Google,Web,,No,Chrome,86.0,Japan,cpc,<Other>,google,WEB,,,,,,,Campus Collection | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,shop.googlemerchandisestore.com,,(referral)
