fullname;mode;type;description
event_date;NULLABLE;STRING;
event_timestamp;NULLABLE;INTEGER;
event_name;NULLABLE;STRING;
event_value_in_usd;NULLABLE;FLOAT;
user_id;NULLABLE;STRING;
user_pseudo_id;NULLABLE;STRING;
user_first_touch_timestamp;NULLABLE;INTEGER;
category;NULLABLE;STRING;
mobile_model_name;NULLABLE;STRING;
mobile_brand_name;NULLABLE;STRING;
operating_system;NULLABLE;STRING;
language;NULLABLE;STRING;
is_limited_ad_tracking;NULLABLE;STRING;
browser;NULLABLE;STRING;
browser_version;NULLABLE;STRING;
country;NULLABLE;STRING;
medium;NULLABLE;STRING;
name;NULLABLE;STRING;
traffic_source;NULLABLE;STRING;
platform;NULLABLE;STRING;
total_item_quantity;NULLABLE;INTEGER;
purchase_revenue_in_usd;NULLABLE;FLOAT;
refund_value_in_usd;NULLABLE;FLOAT;
shipping_value_in_usd;NULLABLE;FLOAT;
tax_value_in_usd;NULLABLE;FLOAT;
transaction_id;NULLABLE;STRING;
page_title;NULLABLE;STRING;
page_location;NULLABLE;STRING;
source;NULLABLE;STRING;
page_referrer;NULLABLE;STRING;
campaign;NULLABLE;STRING;
